21,summary: max, 1 gång/tim,                                          
11,summary: medelvärde 1 timme, 1 gång/tim,                           
22,summary: medel, 1 gång per månad,                                  
26,summary: min, 2 gånger per dygn, kl 06 och 18,                     
27,summary: max, 2 gånger per dygn, kl 06 och 18,                     
19,summary: min, 1 gång per dygn,                                     
1,summary: momentanvärde, 1 gång/tim,                                
2,summary: medelvärde 1 dygn, 1 gång/dygn, kl 00,                    
20,summary: max, 1 gång per dygn,                                     
9,summary: vid havsytans nivå, momentanvärde, 1 gång/tim,            
24,summary: Långvågsstrålning, medel 1 timme, varje timme,            
25,summary: maximum av medelvärde 10 min, under 3 timmar, 1 gång/tim, 
28,summary: lägsta molnlager, momentanvärde, 1 gång/tim,              
30,summary: andra molnlager, momentanvärde, 1 gång/tim,               
32,summary: tredje molnlager, momentanvärde, 1 gång/tim,              
34,summary: fjärde molnlager, momentanvärde, 1 gång/tim,              
36,summary: lägsta molnbas, momentanvärde, 1 gång/tim,                
37,summary: lägsta molnbas, min under 15 min, 1 gång/tim,             
29,summary: lägsta molnlager, momentanvärde, 1 gång/tim,              
31,summary: andra molnlager, momentanvärde, 1 gång/tim,               
33,summary: tredje molnlager, momentanvärde, 1 gång/tim,              
35,summary: fjärde molnlager, momentanvärde, 1 gång/tim,              
17,summary: 2 gånger/dygn, kl 06 och 18,                              
18,summary: 1 gång/dygn, kl 18,                                       
15,summary: max under 15 min, 4 gånger/tim,                           
23,summary: summa, 1 gång per månad,                                  
14,summary: summa 15 min, 4 gånger/tim,                               
5,summary: summa 1 dygn, 1 gång/dygn, kl 06,                         
7,summary: summa 1 timme, 1 gång/tim,                                
13,summary: momentanvärde, 1 gång/tim resp 8 gånger/dygn,             
6,summary: momentanvärde, 1 gång/tim,                                
12,summary: momentanvärde, 1 gång/tim,                                
8,summary: momentanvärde, 1 gång/dygn, kl 06,                        
10,summary: summa 1 timme, 1 gång/tim,                                
16,summary: momentanvärde, 1 gång/tim,                                
4,summary: medelvärde 10 min, 1 gång/tim,                            
3,summary: medelvärde 10 min, 1 gång/tim
